,Novice,Intermediate,Advanced,Elite
53,37.78289794921875,46.24053955078125,57.33551025390625,68.24859619140625
59,41.05682373046875,50.24200439453125,62.24639892578125,74.06890869140625
66,44.14886474609375,54.06158447265625,67.06634521484375,79.70733642578125
74,46.96807861328125,57.60833740234375,71.34063720703125,84.89105224609375
83,49.42352294921875,60.60943603515625,75.06927490234375,89.34722900390625
93,51.51519775390625,63.15582275390625,78.16131591796875,93.07586669921875
105,53.24310302734375,65.24749755859375,80.88958740234375,96.25885009765625
120,54.69818115234375,67.06634521484375,83.07220458984375,98.89617919921875
