,Novice,Intermediate,Advanced,Elite
53,278.78021240234375,344.53155517578125,408.64593505859375,471.21429443359375
59,295.33172607421875,364.90264892578125,432.92755126953125,499.22454833984375
66,313.52020263671875,387.36541748046875,459.48272705078125,529.8721313476562
74,332.89093017578125,411.37420654296875,487.94769287109375,562.6113891601562
83,352.98919677734375,436.29241943359375,517.5039672851562,596.7147827148438
93,373.54217529296875,461.57440185546875,547.5149536132812,631.4547729492188
105,395.82305908203125,489.12994384765625,580.1632690429688,669.0139770507812
120,420.37750244140625,519.5046997070312,616.1764526367188,710.5746459960938
