,Novice,Intermediate,Advanced,Elite
53,142.91229248046875,167.92144775390625,191.29364013671875,213.84735107421875
59,151.36993408203125,177.92510986328125,202.57049560546875,226.57928466796875
66,160.64605712890625,188.83819580078125,215.02960205078125,240.49346923828125
74,170.55877685546875,200.47882080078125,228.39813232421875,255.31707763671875
83,180.92620849609375,212.66510009765625,242.22137451171875,270.86822509765625
93,191.47552490234375,225.03326416015625,256.22650146484375,286.60125732421875
105,202.84332275390625,238.40179443359375,271.50482177734375,303.60748291015625
120,215.48431396484375,253.22540283203125,288.42010498046875,322.52349853515625
