,Novice,Intermediate,Advanced,Elite
53,124.90570068359375,148.18695068359375,171.10443115234375,193.93096923828125
59,132.36297607421875,156.91741943359375,181.28997802734375,205.48065185546875
66,140.45684814453125,166.64825439453125,192.38494873046875,218.12164306640625
74,149.18731689453125,176.92474365234375,204.29840087890625,231.58111572265625
83,158.19061279296875,187.65594482421875,216.66656494140625,245.58624267578125
93,167.37579345703125,198.47808837890625,229.30755615234375,259.86419677734375
105,177.37945556640625,210.39154052734375,242.94891357421875,275.32440185546875
120,188.38348388671875,223.39630126953125,258.04534912109375,292.42156982421875
