,Novice,Intermediate,Advanced,Elite
53,86.61895751953125,103.98895263671875,122.17742919921875,140.91156005859375
59,94.07623291015625,112.90130615234375,132.72674560546875,153.09783935546875
66,101.26068115234375,121.54083251953125,142.82135009765625,164.73846435546875
74,107.71759033203125,129.36187744140625,152.00653076171875,175.28778076171875
83,113.35601806640625,136.18255615234375,159.91851806640625,184.47296142578125
93,118.08502197265625,141.82098388671875,166.55731201171875,192.20306396484375
105,122.17742919921875,146.64093017578125,172.28668212890625,198.75091552734375
120,125.54229736328125,150.73333740234375,177.01568603515625,204.20745849609375
