,Novice,Intermediate,Advanced,Elite
53,97.16827392578125,115.44769287109375,134.54559326171875,153.27972412109375
59,105.53497314453125,125.45135498046875,146.09527587890625,166.46636962890625
66,113.53790283203125,135.00030517578125,157.19024658203125,179.10736083984375
74,120.90423583984375,143.63983154296875,167.37579345703125,190.65704345703125
83,127.27020263671875,151.18804931640625,176.10626220703125,200.66070556640625
93,132.54486083984375,157.46307373046875,183.47259521484375,209.02740478515625
105,137.09197998046875,162.91961669921875,189.74761962890625,216.21185302734375
120,140.82061767578125,167.37579345703125,194.93133544921875,222.12310791015625
