,Novice,Intermediate,Advanced,Elite
53,138.72894287109375,161.19171142578125,182.74505615234375,203.57086181640625
59,146.91375732421875,170.83160400390625,193.65814208984375,215.66619873046875
66,155.91705322265625,181.28997802734375,205.57159423828125,228.94378662109375
74,165.55694580078125,192.47589111328125,218.21258544921875,243.13079833984375
83,175.65155029296875,204.20745849609375,231.49017333984375,257.77252197265625
93,185.83709716796875,216.02996826171875,244.94964599609375,272.77801513671875
105,196.93206787109375,228.94378662109375,259.50042724609375,289.05670166015625
120,209.11834716796875,243.13079833984375,275.59722900390625,306.97235107421875
