,Novice,Intermediate,Advanced,Elite
53,92.80303955078125,109.26361083984375,128.17962646484375,147.36846923828125
59,100.80596923828125,118.72161865234375,139.27459716796875,160.10040283203125
66,108.53607177734375,127.72491455078125,149.91485595703125,172.28668212890625
74,115.53863525390625,136.00067138671875,159.55474853515625,183.29071044921875
83,121.54083251953125,143.09417724609375,167.92144775390625,192.93060302734375
93,126.63360595703125,149.09637451171875,174.83306884765625,200.93353271484375
105,130.90789794921875,154.18914794921875,180.83526611328125,207.84515380859375
120,134.54559326171875,158.46343994140625,185.83709716796875,213.57452392578125
