,Novice,Intermediate,Advanced,Elite
53,118.63067626953125,143.91265869140625,167.46673583984375,190.47515869140625
59,125.72418212890625,152.37030029296875,177.37945556640625,201.75201416015625
66,133.45428466796875,161.82830810546875,188.29254150390625,214.21112060546875
74,141.63909912109375,171.83197021484375,199.93316650390625,227.39776611328125
83,150.27862548828125,182.19940185546875,212.11944580078125,241.22100830078125
93,159.00909423828125,192.74871826171875,224.39666748046875,255.22613525390625
105,168.46710205078125,204.29840087890625,237.76519775390625,270.41351318359375
120,178.92547607421875,216.93939208984375,252.58880615234375,287.23785400390625
