,Novice,Intermediate,Advanced,Elite
53,211.21002197265625,255.13519287109375,301.87957763671875,348.98773193359375
59,229.48944091796875,277.14324951171875,327.98004150390625,379.08966064453125
66,246.95037841796875,298.24188232421875,352.89825439453125,408.00933837890625
74,262.77435302734375,317.33978271484375,375.63385009765625,434.20074462890625
83,276.59759521484375,334.07318115234375,395.27740478515625,457.02728271484375
93,288.05633544921875,347.89642333984375,411.73797607421875,476.03424072265625
105,297.96905517578125,359.80987548828125,425.83404541015625,492.31292724609375
120,306.15386962890625,369.72259521484375,437.56561279296875,505.86334228515625
