,Novice,Intermediate,Advanced,Elite
53,79.07073974609375,94.80377197265625,113.44696044921875,128.45245361328125
59,85.89141845703125,102.98858642578125,123.26873779296875,139.54742431640625
66,92.34832763671875,110.80963134765625,132.63580322265625,150.18768310546875
74,98.35052490234375,117.99407958984375,141.18438720703125,159.82757568359375
83,103.53424072265625,124.17816162109375,148.55072021484375,168.28521728515625
93,107.80853271484375,129.27093505859375,154.73480224609375,175.19683837890625
105,111.44622802734375,133.72711181640625,160.00946044921875,181.19903564453125
120,114.53826904296875,137.45574951171875,164.46563720703125,186.20086669921875
