,Novice,Intermediate,Advanced,Elite
53,187.11029052734375,229.76226806640625,276.59759521484375,321.06842041015625
59,203.29803466796875,249.58770751953125,300.42449951171875,348.80584716796875
66,218.75823974609375,268.50372314453125,323.34197998046875,375.36102294921875
74,232.76336669921875,285.78277587890625,344.07684326171875,399.46075439453125
83,245.04058837890625,300.78826904296875,362.17437744140625,420.46844482421875
93,255.22613525390625,313.33831787109375,377.27081298828125,437.92938232421875
105,263.95660400390625,324.06951904296875,390.18463134765625,452.93487548828125
120,271.23199462890625,332.98187255859375,400.91583251953125,465.39398193359375
