,Novice,Intermediate,Advanced,Elite
53,89.98382568359375,118.17596435546875,146.36810302734375,170.37689208984375
59,95.25848388671875,125.17852783203125,155.00762939453125,180.47149658203125
66,101.16973876953125,132.81768798828125,164.55657958984375,191.56646728515625
74,107.44476318359375,141.09344482421875,174.74212646484375,203.38897705078125
83,113.90167236328125,149.64202880859375,185.29144287109375,215.75714111328125
93,120.54046630859375,158.28155517578125,196.11358642578125,228.30718994140625
105,127.72491455078125,167.73956298828125,207.75421142578125,241.85760498046875
120,135.63690185546875,178.10699462890625,220.66802978515625,256.86309814453125
