,Novice,Intermediate,Advanced,Elite
53,62.97393798828125,80.43487548828125,96.89544677734375,112.99224853515625
59,66.70257568359375,85.25482177734375,102.62481689453125,119.63104248046875
66,70.79498291015625,90.52947998046875,108.99078369140625,126.99737548828125
74,75.16021728515625,96.07696533203125,115.72052001953125,134.90936279296875
83,79.70733642578125,101.89727783203125,122.72308349609375,143.00323486328125
93,84.34539794921875,107.80853271484375,129.81658935546875,151.36993408203125
105,89.34722900390625,114.26544189453125,137.54669189453125,160.37322998046875
120,94.89471435546875,121.35894775390625,146.09527587890625,170.37689208984375
