,Novice,Intermediate,Advanced,Elite
53,207.84515380859375,247.22320556640625,292.60345458984375,336.71051025390625
59,225.76080322265625,268.59466552734375,317.88543701171875,365.81207275390625
66,242.94891357421875,288.96575927734375,342.07611083984375,393.64044189453125
74,258.59100341796875,307.60894775390625,364.08416748046875,418.92242431640625
83,272.14141845703125,323.70574951171875,383.18206787109375,440.93048095703125
93,283.50921630859375,337.16522216796875,399.09698486328125,459.30084228515625
105,293.24005126953125,348.71490478515625,412.73834228515625,475.03387451171875
120,301.24298095703125,358.35479736328125,424.10614013671875,488.12957763671875
