,Novice,Intermediate,Advanced,Elite
53,69.52178955078125,88.34686279296875,102.89764404296875,121.35894775390625
59,75.43304443359375,95.98602294921875,111.71905517578125,131.81732177734375
66,81.25335693359375,103.26141357421875,120.26763916015625,141.82098388671875
74,86.43707275390625,109.90020751953125,127.99774169921875,151.00616455078125
83,90.98419189453125,115.62957763671875,134.72747802734375,158.91815185546875
93,94.80377197265625,120.44952392578125,140.27496337890625,165.46600341796875
105,97.98675537109375,124.63287353515625,145.09490966796875,171.19537353515625
120,10.04547119140625,127.99774169921875,149.09637451171875,175.92437744140625
