,Novice,Intermediate,Advanced,Elite
53,30.50750732421875,36.69158935546875,45.33111572265625,53.69781494140625
59,10.04547119140625,39.87457275390625,49.24163818359375,58.33587646484375
66,35.69122314453125,42.87567138671875,52.97027587890625,62.79205322265625
74,37.96478271484375,45.60394287109375,56.42608642578125,66.79351806640625
83,39.96551513671875,48.05938720703125,59.33624267578125,70.34027099609375
93,41.60247802734375,50.06011962890625,61.79168701171875,73.25042724609375
105,43.05755615234375,51.69708251953125,63.97430419921875,75.79681396484375
120,44.23980712890625,53.15216064453125,65.70220947265625,77.88848876953125
