,Novice,Intermediate,Advanced,Elite
53,221.48651123046875,265.04791259765625,309.24591064453125,353.44390869140625
59,240.58441162109375,287.96539306640625,335.89202880859375,384.00054931640625
66,258.95477294921875,309.88250732421875,361.44683837890625,413.19305419921875
74,275.59722900390625,329.79888916015625,384.72808837890625,439.83917236328125
83,290.05706787109375,347.07794189453125,404.91729736328125,462.84759521484375
93,302.06146240234375,361.53778076171875,421.74163818359375,482.12738037109375
105,312.42889404296875,373.90594482421875,436.20147705078125,498.67889404296875
120,321.06842041015625,384.18243408203125,448.20587158203125,512.4111938476562
