,Novice,Intermediate,Advanced,Elite
53,283.05450439453125,357.99102783203125,418.64959716796875,475.21575927734375
59,299.78790283203125,379.18060302734375,443.47686767578125,503.40789794921875
66,318.24920654296875,402.55279541015625,470.75958251953125,534.4192504882812
74,337.89276123046875,427.38006591796875,499.86114501953125,567.4313354492188
83,358.35479736328125,453.29864501953125,530.1449584960938,601.8075561523438
93,379.18060302734375,479.67193603515625,560.8834838867188,636.7294311523438
105,401.82525634765625,508.22784423828125,594.3502807617188,674.7433471679688
120,426.74346923828125,539.7848510742188,631.2728881835938,716.5768432617188
