,Novice,Intermediate,Advanced,Elite
53,42.14813232421875,51.96990966796875,63.51959228515625,76.16058349609375
59,45.69488525390625,56.42608642578125,68.97613525390625,82.79937744140625
66,49.24163818359375,60.70037841796875,74.25079345703125,89.07440185546875
74,52.42462158203125,64.61090087890625,79.07073974609375,94.80377197265625
83,55.15289306640625,68.06671142578125,83.16314697265625,99.80560302734375
93,57.42645263671875,70.88592529296875,86.61895751953125,103.89801025390625
105,59.42718505859375,73.25042724609375,89.62005615234375,107.53570556640625
120,61.06414794921875,75.25115966796875,92.07550048828125,110.44586181640625
