,Novice,Intermediate,Advanced,Elite
53,168.83087158203125,204.02557373046875,247.31414794921875,283.23638916015625
59,183.38165283203125,221.66839599609375,268.68560791015625,307.60894775390625
66,197.38677978515625,238.49273681640625,289.14764404296875,331.07208251953125
74,210.11871337890625,253.86199951171875,307.79083251953125,352.35260009765625
83,221.12274169921875,267.13958740234375,323.88763427734375,370.81390380859375
93,230.30792236328125,278.23455810546875,337.34710693359375,386.27410888671875
105,238.21990966796875,287.78350830078125,348.89678955078125,399.46075439453125
120,244.76776123046875,295.69549560546875,358.53668212890625,410.46478271484375
