,Novice,Intermediate,Advanced,Elite
53,53.06121826171875,69.52178955078125,85.80047607421875,99.80560302734375
59,57.60833740234375,75.52398681640625,93.25775146484375,108.44512939453125
66,61.97357177734375,81.34429931640625,100.35125732421875,116.72088623046875
74,65.97503662109375,86.52801513671875,106.80816650390625,124.17816162109375
83,69.43084716796875,91.07513427734375,112.35565185546875,130.72601318359375
93,72.34100341796875,94.89471435546875,117.08465576171875,136.18255615234375
105,74.79644775390625,98.16864013671875,121.08612060546875,140.82061767578125
120,76.88812255859375,100.80596923828125,124.36004638671875,144.73114013671875
