,Novice,Intermediate,Advanced,Elite
53,67.52105712890625,82.89031982421875,99.53277587890625,116.90277099609375
59,71.52252197265625,87.89215087890625,105.44403076171875,123.90533447265625
66,75.88775634765625,93.25775146484375,111.90093994140625,131.45355224609375
74,80.61676025390625,98.98712158203125,118.81256103515625,139.63836669921875
83,85.43670654296875,104.98931884765625,125.99700927734375,148.09600830078125
93,90.43853759765625,111.08245849609375,133.36334228515625,156.73553466796875
105,95.80413818359375,117.72125244140625,141.27532958984375,166.01165771484375
120,101.80633544921875,125.08758544921875,150.09674072265625,176.37908935546875
