,Novice,Intermediate,Advanced,Elite
53,65.52032470703125,84.98199462890625,109.90020751953125,128.81622314453125
59,69.43084716796875,89.98382568359375,116.44805908203125,136.45538330078125
66,73.70513916015625,95.53131103515625,123.63250732421875,144.82208251953125
74,78.25225830078125,101.44256591796875,131.27166748046875,153.82537841796875
83,82.98126220703125,107.62664794921875,139.18365478515625,163.10150146484375
93,87.80120849609375,113.81072998046875,147.27752685546875,172.55950927734375
105,92.98492431640625,120.63140869140625,156.09893798828125,182.92694091796875
120,98.80523681640625,128.08868408203125,165.73883056640625,194.20379638671875
