,Novice,Intermediate,Advanced,Elite
53,35.60028076171875,44.78546142578125,56.06231689453125,67.97576904296875
59,38.69232177734375,48.60504150390625,60.88226318359375,73.88702392578125
66,41.69342041015625,52.33367919921875,65.52032470703125,79.43450927734375
74,44.33074951171875,55.69854736328125,69.79461669921875,84.61822509765625
83,46.69525146484375,58.60870361328125,73.43231201171875,88.98345947265625
93,48.60504150390625,61.06414794921875,76.43341064453125,92.71209716796875
105,50.24200439453125,63.15582275390625,79.07073974609375,95.89508056640625
120,51.69708251953125,64.88372802734375,81.25335693359375,98.53240966796875
