,Novice,Intermediate,Advanced,Elite
53,151.55181884765625,173.19610595703125,194.47662353515625,215.75714111328125
59,160.55511474609375,183.47259521484375,205.93536376953125,228.48907470703125
66,170.37689208984375,194.74945068359375,218.66729736328125,242.58514404296875
74,180.92620849609375,206.84478759765625,232.12677001953125,257.59063720703125
83,191.93023681640625,219.30389404296875,246.22283935546875,273.14178466796875
93,203.02520751953125,232.12677001953125,260.50079345703125,289.05670166015625
105,215.12054443359375,245.95001220703125,276.05194091796875,306.33575439453125
120,228.48907470703125,261.22833251953125,293.14910888671875,325.34271240234375
