,Novice,Intermediate,Advanced,Elite
53,63.51959228515625,81.16241455078125,99.35089111328125,115.62957763671875
59,68.97613525390625,88.16497802734375,107.89947509765625,125.54229736328125
66,74.25079345703125,94.89471435546875,116.08428955078125,135.18218994140625
74,78.97979736328125,100.98785400390625,123.54156494140625,143.82171630859375
83,83.16314697265625,106.26251220703125,129.99847412109375,151.36993408203125
93,86.61895751953125,110.71868896484375,135.45501708984375,157.64495849609375
105,89.52911376953125,114.44732666015625,140.09307861328125,163.10150146484375
120,91.98455810546875,117.63031005859375,143.91265869140625,167.55767822265625
