,Novice,Intermediate,Advanced,Elite
53,365.35736083984375,418.37677001953125,470.48675537109375,522.0510864257812
59,387.00164794921875,443.20404052734375,498.40606689453125,552.9714965820312
66,410.82855224609375,470.48675537109375,529.0536499023438,586.9839477539062
74,436.20147705078125,499.58831787109375,561.7019653320312,623.2699584960938
83,462.66571044921875,529.7811889648438,595.8053588867188,661.0110473632812
93,489.58465576171875,560.6106567382812,630.3634643554688,699.4796752929688
105,518.7771606445312,594.0774536132812,667.9226684570312,741.1312866210938
120,550.9707641601562,630.9091186523438,709.4833374023438,787.1481323242188
