,Novice,Intermediate,Advanced,Elite
53,119.99481201171875,149.55108642578125,174.46929931640625,197.47772216796875
59,127.17926025390625,158.37249755859375,184.83673095703125,209.20928955078125
66,135.00030517578125,168.19427490234375,196.20452880859375,222.12310791015625
74,143.27606201171875,178.56170654296875,208.29986572265625,235.85540771484375
83,152.00653076171875,189.38385009765625,220.94085693359375,250.13336181640625
93,160.82794189453125,200.38787841796875,233.76373291015625,264.68414306640625
105,170.37689208984375,212.30133056640625,247.76885986328125,280.41717529296875
120,181.01715087890625,225.48797607421875,263.13812255859375,297.87811279296875
