,Novice,Intermediate,Advanced,Elite
53,93.16680908203125,111.80999755859375,131.90826416015625,151.46087646484375
59,101.26068115234375,121.44989013671875,143.27606201171875,164.55657958984375
66,108.89984130859375,130.72601318359375,154.18914794921875,177.01568603515625
74,115.99334716796875,139.09271240234375,164.10186767578125,188.38348388671875
83,122.08648681640625,146.36810302734375,172.74139404296875,198.29620361328125
93,127.08831787109375,152.46124267578125,179.92584228515625,206.57196044921875
105,131.45355224609375,157.73590087890625,186.01898193359375,213.66546630859375
120,135.09124755859375,162.01019287109375,191.20269775390625,219.48577880859375
