,Novice,Intermediate,Advanced,Elite
53,78.43414306640625,94.98565673828125,111.53717041015625,128.17962646484375
59,83.07220458984375,100.62408447265625,118.17596435546875,135.81878662109375
66,88.25592041015625,106.80816650390625,125.45135498046875,144.18548583984375
74,93.71246337890625,113.44696044921875,133.18145751953125,153.09783935546875
83,99.35089111328125,120.26763916015625,141.27532958984375,162.37396240234375
93,105.17120361328125,127.27020263671875,149.46014404296875,171.74102783203125
105,111.35528564453125,134.90936279296875,158.37249755859375,182.01751708984375
120,118.26690673828125,143.27606201171875,168.19427490234375,193.29437255859375
