,Novice,Intermediate,Advanced,Elite
53,82.79937744140625,101.07879638671875,120.26763916015625,139.00177001953125
59,89.98382568359375,109.80926513671875,130.63507080078125,151.00616455078125
66,96.80450439453125,118.17596435546875,140.54779052734375,162.55584716796875
74,103.07952880859375,125.81512451171875,149.64202880859375,173.01422119140625
83,108.44512939453125,132.36297607421875,157.46307373046875,182.10845947265625
93,112.99224853515625,137.91046142578125,164.01092529296875,189.65667724609375
105,116.81182861328125,142.63946533203125,169.64935302734375,196.11358642578125
120,120.08575439453125,146.54998779296875,174.28741455078125,201.57012939453125
