,Novice,Intermediate,Advanced,Elite
53,127.81585693359375,151.09710693359375,173.37799072265625,194.56756591796875
59,135.45501708984375,160.10040283203125,183.65447998046875,206.11724853515625
66,143.73077392578125,169.92218017578125,194.93133544921875,218.84918212890625
74,152.64312744140625,180.38055419921875,207.02667236328125,232.30865478515625
83,161.91925048828125,191.38458251953125,219.48577880859375,246.40472412109375
93,171.28631591796875,202.47955322265625,232.30865478515625,260.68267822265625
105,181.56280517578125,214.48394775390625,246.13189697265625,276.23382568359375
120,192.74871826171875,227.85247802734375,261.41021728515625,293.42193603515625
