,Novice,Intermediate,Advanced,Elite
53,41.32965087890625,49.96917724609375,60.70037841796875,71.97723388671875
59,44.96734619140625,54.24346923828125,65.88409423828125,78.16131591796875
66,48.33221435546875,58.42681884765625,70.97686767578125,84.16351318359375
74,51.42425537109375,62.15545654296875,75.52398681640625,89.52911376953125
83,54.15252685546875,65.42938232421875,79.43450927734375,94.25811767578125
93,56.42608642578125,68.15765380859375,82.79937744140625,98.16864013671875
105,58.33587646484375,70.52215576171875,85.61859130859375,101.53350830078125
120,59.97283935546875,72.43194580078125,87.98309326171875,104.35272216796875
