,Novice,Intermediate,Advanced,Elite
53,143.54888916015625,184.65484619140625,219.12200927734375,255.95367431640625
59,155.91705322265625,200.66070556640625,238.03802490234375,278.05267333984375
66,167.73956298828125,215.84808349609375,256.22650146484375,299.15130615234375
74,178.56170654296875,229.76226806640625,272.68707275390625,318.43109130859375
83,10.04547119140625,241.85760498046875,286.96502685546875,335.16448974609375
93,10.04547119140625,251.86126708984375,298.87847900390625,349.07867431640625
105,202.47955322265625,260.50079345703125,309.15496826171875,360.99212646484375
120,208.02703857421875,267.68524169921875,317.70355224609375,370.99578857421875
