,Novice,Intermediate,Advanced,Elite
53,310.97381591796875,370.99578857421875,422.56011962890625,469.94110107421875
59,329.43511962890625,393.00384521484375,447.56927490234375,497.86041259765625
66,349.62432861328125,417.19451904296875,475.12481689453125,528.4170532226562
74,371.26861572265625,442.93121337890625,504.49920654296875,561.0653686523438
83,393.73138427734375,469.75921630859375,535.0558471679688,595.0778198242188
93,416.64886474609375,497.13287353515625,566.1581420898438,629.6359252929688
105,441.47613525390625,526.6891479492188,599.8977661132812,667.1951293945312
120,468.84979248046875,559.4284057617188,637.1841430664062,708.6648559570312
