,Novice,Intermediate,Advanced,Elite
53,71.24969482421875,87.43743896484375,106.35345458984375,123.81439208984375
59,77.34283447265625,94.98565673828125,115.53863525390625,134.45465087890625
66,83.25408935546875,102.17010498046875,124.36004638671875,144.64019775390625
74,88.61968994140625,108.80889892578125,132.36297607421875,154.00726318359375
83,93.25775146484375,114.53826904296875,139.27459716796875,162.10113525390625
93,97.16827392578125,119.26727294921875,145.09490966796875,168.83087158203125
105,100.44219970703125,123.35968017578125,150.09674072265625,174.56024169921875
120,103.26141357421875,126.72454833984375,154.18914794921875,179.38018798828125
