,Novice,Intermediate,Advanced,Elite
53,190.47515869140625,232.49053955078125,275.05157470703125,315.06622314453125
59,206.93572998046875,252.58880615234375,298.78753662109375,342.25799560546875
66,222.66876220703125,271.77764892578125,321.52313232421875,368.35845947265625
74,237.03765869140625,289.32952880859375,342.16705322265625,392.00347900390625
83,249.40582275390625,304.51690673828125,360.17364501953125,412.64739990234375
93,259.77325439453125,317.15789794921875,375.17913818359375,429.74456787109375
105,268.68560791015625,327.98004150390625,388.00201416015625,444.47723388671875
120,276.14288330078125,336.98333740234375,398.64227294921875,456.75445556640625
