,Novice,Intermediate,Advanced,Elite
53,223.21441650390625,266.41204833984375,325.70648193359375,373.81500244140625
59,236.40106201171875,282.23602294921875,345.07720947265625,396.00494384765625
66,250.95184326171875,299.60601806640625,366.26678466796875,420.37750244140625
74,266.50299072265625,318.15826416015625,388.91143798828125,446.38702392578125
83,282.59979248046875,337.34710693359375,412.46551513671875,473.39691162109375
93,299.06036376953125,356.99066162109375,436.47430419921875,500.95245361328125
105,316.88507080078125,378.27117919921875,462.48382568359375,530.7815551757812
120,336.52862548828125,401.73431396484375,491.13067626953125,563.7026977539062
