,Novice,Intermediate,Advanced,Elite
53,363.17474365234375,420.01373291015625,476.57989501953125,531.4181518554688
59,384.72808837890625,444.93194580078125,504.86297607421875,562.8842163085938
66,408.37310791015625,472.21466064453125,535.8743286132812,597.5332641601562
74,433.56414794921875,501.40716552734375,568.9773559570312,634.4558715820312
83,459.84649658203125,531.7819213867188,603.4445190429688,672.9244995117188
93,486.58355712890625,562.7023315429688,638.5482788085938,712.0297241210938
105,515.5941772460938,596.2600708007812,676.5621948242188,754.4088745117188
120,547.6058959960938,633.2736206054688,718.5775756835938,801.2442016601562
