,Novice,Intermediate,Advanced,Elite
53,103.35235595703125,128.08868408203125,150.91522216796875,170.10406494140625
59,109.44549560546875,135.72784423828125,159.91851806640625,180.10772705078125
66,116.17523193359375,144.00360107421875,169.74029541015625,191.20269775390625
74,123.35968017578125,152.91595458984375,180.19866943359375,203.02520751953125
83,130.90789794921875,162.19207763671875,191.11175537109375,215.30242919921875
93,138.45611572265625,171.65008544921875,202.29766845703125,227.85247802734375
105,146.73187255859375,181.83563232421875,214.30206298828125,241.40289306640625
120,155.82611083984375,193.20343017578125,227.67059326171875,256.40838623046875
