,Novice,Intermediate,Advanced,Elite
53,42.14813232421875,51.60614013671875,63.15582275390625,76.34246826171875
59,45.78582763671875,56.06231689453125,68.61236572265625,82.89031982421875
66,49.24163818359375,60.33660888671875,73.79608154296875,89.25628662109375
74,52.42462158203125,64.15618896484375,78.52508544921875,94.98565673828125
83,55.15289306640625,67.52105712890625,82.70843505859375,99.98748779296875
93,57.42645263671875,70.34027099609375,86.07330322265625,104.07989501953125
105,59.42718505859375,72.79571533203125,89.07440185546875,107.71759033203125
120,61.06414794921875,74.79644775390625,91.52984619140625,110.62774658203125
