,Novice,Intermediate,Advanced,Elite
53,343.62213134765625,397.73284912109375,450.84320068359375,500.95245361328125
59,363.99322509765625,421.37786865234375,477.58026123046875,530.6906127929688
66,386.36505126953125,447.29644775390625,506.95465087890625,563.3389282226562
74,410.19195556640625,474.94293212890625,538.2388305664062,598.1698608398438
83,435.11016845703125,503.68072509765625,570.7962036132812,634.3649291992188
93,460.39215087890625,532.9641723632812,603.9901733398438,671.2875366210938
105,487.76580810546875,564.7030639648438,640.0033569335938,711.3021850585938
120,518.0496215820312,599.8068237304688,679.7451782226562,755.4092407226562
