,Novice,Intermediate,Advanced,Elite
53,115.99334716796875,139.00177001953125,161.37359619140625,183.65447998046875
59,122.81402587890625,147.27752685546875,170.92254638671875,194.56756591796875
66,130.36224365234375,156.37176513671875,181.47186279296875,206.48101806640625
74,138.45611572265625,166.01165771484375,192.65777587890625,219.30389404296875
83,146.82281494140625,176.01531982421875,204.29840087890625,232.58148193359375
93,155.37139892578125,186.29180908203125,216.21185302734375,246.04095458984375
105,164.64752197265625,197.38677978515625,229.12567138671875,260.77362060546875
120,174.83306884765625,209.66400146484375,243.31268310546875,276.96136474609375
