,Novice,Intermediate,Advanced,Elite
53,117.44842529296875,143.82171630859375,169.92218017578125,196.56829833984375
59,124.36004638671875,152.37030029296875,179.92584228515625,208.20892333984375
66,131.99920654296875,161.73736572265625,191.02081298828125,221.03179931640625
74,140.18402099609375,171.74102783203125,202.84332275390625,234.67315673828125
83,148.64166259765625,182.10845947265625,215.12054443359375,248.86016845703125
93,157.28118896484375,192.74871826171875,227.57965087890625,263.32000732421875
105,166.64825439453125,204.20745849609375,241.22100830078125,279.05303955078125
120,177.01568603515625,216.84844970703125,256.13555908203125,296.33209228515625
