,Novice,Intermediate,Advanced,Elite
53,126.99737548828125,148.55072021484375,170.19500732421875,191.74835205078125
59,134.54559326171875,157.37213134765625,180.28961181640625,203.11614990234375
66,142.73040771484375,167.01202392578125,191.38458251953125,215.57525634765625
74,151.64276123046875,177.37945556640625,203.20709228515625,228.94378662109375
83,160.73699951171875,188.11065673828125,215.48431396484375,242.76702880859375
93,170.10406494140625,199.02374267578125,228.03436279296875,256.86309814453125
105,180.28961181640625,210.93719482421875,241.67572021484375,272.23236083984375
120,191.47552490234375,224.03289794921875,256.68121337890625,289.14764404296875
