,Novice,Intermediate,Advanced,Elite
53,75.79681396484375,91.07513427734375,106.26251220703125,119.54010009765625
59,80.34393310546875,96.44073486328125,112.53753662109375,126.63360595703125
66,85.25482177734375,102.44293212890625,119.44915771484375,134.45465087890625
74,90.52947998046875,108.71795654296875,126.90643310546875,142.82135009765625
83,95.98602294921875,115.35675048828125,134.54559326171875,151.46087646484375
93,101.62445068359375,122.08648681640625,142.36663818359375,160.19134521484375
105,107.62664794921875,129.27093505859375,150.82427978515625,169.74029541015625
120,114.35638427734375,137.36480712890625,160.19134521484375,180.28961181640625
