,Novice,Intermediate,Advanced,Elite
53,79.34356689453125,96.80450439453125,114.35638427734375,132.99957275390625
59,86.16424560546875,105.17120361328125,124.26910400390625,144.45831298828125
66,92.71209716796875,113.17413330078125,133.72711181640625,155.46234130859375
74,98.71429443359375,120.44952392578125,142.27569580078125,165.46600341796875
83,103.89801025390625,126.72454833984375,149.73297119140625,174.10552978515625
93,108.17230224609375,131.99920654296875,156.00799560546875,181.38092041015625
105,111.90093994140625,136.54632568359375,161.28265380859375,187.56500244140625
120,114.99298095703125,140.27496337890625,165.73883056640625,192.74871826171875
