,Novice,Intermediate,Advanced,Elite
53,42.96661376953125,57.97210693359375,74.34173583984375,83.79974365234375
59,46.69525146484375,62.97393798828125,80.79864501953125,90.98419189453125
66,50.24200439453125,67.79388427734375,86.89178466796875,97.89581298828125
74,53.42498779296875,72.15911865234375,92.53021240234375,104.26177978515625
83,56.24420166015625,75.88775634765625,97.35015869140625,109.71832275390625
93,58.60870361328125,79.07073974609375,101.44256591796875,114.26544189453125
105,60.60943603515625,81.79901123046875,104.89837646484375,118.17596435546875
120,62.24639892578125,84.07257080078125,107.80853271484375,121.44989013671875
