,Novice,Intermediate,Advanced,Elite
53,95.25848388671875,117.17559814453125,140.09307861328125,165.46600341796875
59,100.98785400390625,124.17816162109375,148.36883544921875,175.28778076171875
66,107.17193603515625,131.81732177734375,157.55401611328125,186.01898193359375
74,113.81072998046875,139.91119384765625,167.28485107421875,197.56866455078125
83,120.72235107421875,148.36883544921875,177.37945556640625,209.48211669921875
93,127.72491455078125,157.00836181640625,187.65594482421875,221.66839599609375
105,135.27313232421875,166.37542724609375,198.84185791015625,234.94598388671875
120,143.73077392578125,176.74285888671875,211.21002197265625,249.49676513671875
